2,Cats,Cat,pets,adorable kitty,Newborn,Castro Valley CA,https://i.ytimg.com/vi/ayriQHgsPCc/maxresdefault.jpg
3,bicycle,bicycles,recreational,superbike,New,Petaluma CA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-Zci76iKGLlK1C5J203f5xNt_Fi637E7nxErWBohcPPtiIfknmQ
4,chairs,chair,furniture,convenient,Used,Daly city CA,https://blog.westelm.com/wp-content/uploads/2018/09/classic-cafe-upholstered-dining-chair-o.jpg
5,sofa,sofas,furniture,fantastic sofa,New Alamo CA,https://i.ebayimg.com/images/g/1noAAOSwCf9bi-Lg/s-l225.jpg
6,hammer,hammers,construction,heavy,Livermore CA,https://images-na.ssl-images-amazon.com/images/I/61fnMMgkGIL._SX466_.jpg
7,Dancing lessons,Dancing lesson,commision,cool,San Jose CA,https://img.grouponcdn.com/deal/u9wFv74dNPeVq279EC9r/PH-2048x1229/v1/c700x420.jpg
8,Superman,Supermans,Toys,superfun,like new,Oakland CA,https://www.dhresource.com/0x0s/f2-albu-g5-M01-06-89-rBVaI1igTHCAUJCLAAJd5WSQbbs119.jpg/new-arrival-marvel-superhero-plush-toys-cute.jpg
9,Tablets,Tablet,electronics,8.0 Pixels Camera,New,Richmond CA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa6wanj8j_N3hyL8EAOgQpBdLBvbxiRByz_IDR3DrjqSYZn0vfMw
10,Fried Pan,Fried Pans,household supplies,Metallic,almost new,Pittsburg CA,https://images-na.ssl-images-amazon.com/images/I/61FYUKHqDnL._SX355_.jpg
11,dogs,dog,pets,friendly,newborn,Concord CA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv5RlGudfZdCt3oG-WTOtWYgyAg2xr6qEps8Br2t4_36LmUFj-
